Categoría: Todas las categorías

País,Vehículo aéreo no tripulado: (1/1/04 - 31/12/20),uas: (1/1/04 - 31/12/20),dji: (1/1/04 - 31/12/20),drone: (1/1/04 - 31/12/20)
Angola,,,,
Mozambique,,,,
San Bartolomé,,,,
Seychelles,,,,
Islas Vírgenes Británicas,,,,
San Martín,,,,
Maldivas,,,,
Sint Maarten,,,,
Groenlandia,,,,
Nueva Caledonia,,,,
Vanuatu,,,,
Reunión,,,,
Yibuti,,,,
Polinesia Francesa,,,,
Mónaco,,,,
Mayotte,,,,
Guayana Francesa,,,,
Santa Elena,,,,
Islas Aland,,,,
Islas Vírgenes de EE. UU.,,,,
Santo Tomé y Príncipe,,,,
Islas Turcas y Caicos,,,,
Corea del Sur,72 %,1 %,11 %,16 %
Curazao,,,,
San Marino,,,,
Andorra,,,,
Guadalupe,,,,
Indonesia,26 %,41 %,10 %,23 %
Togo,,,,
México,28 %,55 %,6 %,11 %
Australia,45 %,< 1 %,21 %,34 %
Madagascar,,,,
Jersey,,,,
Papúa Nueva Guinea,,,,
Islas Marianas del Norte,,,,
Guam,,,,
Isla de Man,,,,
Martinica,,,,
Liechtenstein,,,,
Belice,,,,
Haití,,,,
Singapur,43 %,2 %,23 %,32 %
Islandia,,,,
Bermudas,,,,
Guernesey,,,,
Nueva Zelanda,,,,
Islas Caimán,,,,
Suiza,46 %,< 1 %,29 %,25 %
Antigua y Barbuda,,,,
Noruega,,,,
Myanmar (Birmania),,,,
Estados Unidos,48 %,2 %,16 %,34 %
Francia,45 %,< 1 %,11 %,44 %
Países Bajos,44 %,< 1 %,20 %,36 %
Sudáfrica,,,,
Cabo Verde,,,,
Samoa Americana,,,,
Botsuana,,,,
Hong Kong,,,,
Afganistán,,,,
República Centroafricana,,,,
Congo,,,,
Gabón,,,,
Mali,,,,
Cuba,,,,
Guyana,,,,
Mauricio,,,,
Níger,,,,
España,60 %,< 1 %,13 %,27 %
Gibraltar,,,,
Surinam,,,,
Namibia,,,,
Ghana,,,,
Chequia,,,,
Reino Unido,47 %,1 %,15 %,37 %
Islas Feroe,,,,
Côte d’Ivoire,,,,
Canadá,46 %,1 %,16 %,37 %
Aruba,,,,
Fiyi,,,,
Burkina Faso,,,,
Brunéi,,,,
Nepal,,,,
Italia,49 %,< 1 %,14 %,37 %
Zimbabue,,,,
Irlanda,,,,
Bélgica,,,,
Camerún,,,,
Emiratos Árabes Unidos,43 %,8 %,19 %,30 %
Puerto Rico,,,,
Malta,,,,
Sri Lanka,,,,
Chipre,,,,
Burundi,,,,
Luxemburgo,,,,
Santa Lucía,,,,
Granada,,,,
Esuatini,,,,
Bahamas,,,,
Trinidad y Tobago,,,,
Hungría,,,,
Austria,51 %,1 %,31 %,17 %
Dinamarca,44 %,1 %,17 %,38 %
Benín,,,,
Islas Salomón,,,,
Ruanda,,,,
Letonia,,,,
Suecia,50 %,4 %,25 %,21 %
Etiopía,,,,
Jamaica,,,,
República Democrática del Congo,,,,
Alemania,49 %,5 %,30 %,16 %
Portugal,,,,
San Cristóbal y Nieves,,,,
Estonia,,,,
Chile,54 %,7 %,14 %,25 %
Paraguay,,,,
Uganda,,,,
Irán,,,,
San Vicente y las Granadinas,,,,
Panamá,,,,
Grecia,,,,
Bangladés,48 %,3 %,12 %,37 %
Macao,,,,
Malasia,41 %,1 %,25 %,33 %
Timor-Leste,,,,
Pakistán,49 %,3 %,11 %,37 %
Chad,,,,
Bután,,,,
Barbados,,,,
Malaui,,,,
Líbano,,,,
Dominica,,,,
Costa Rica,,,,
Filipinas,,,,
Lituania,,,,
India,48 %,3 %,10 %,39 %
Guatemala,,,,
Turquía,53 %,< 1 %,12 %,35 %
Somalia,,,,
Brasil,48 %,1 %,9 %,42 %
Bulgaria,,,,
República Dominicana,,,,
Kenia,,,,
Rumanía,,,,
Nigeria,,,,
Eslovaquia,,,,
Sáhara Occidental,,,,
Catar,,,,
Eslovenia,,,,
Colombia,60 %,1 %,14 %,25 %
Mongolia,,,,
Tailandia,58 %,< 1 %,23 %,19 %
Polonia,63 %,< 1 %,23 %,14 %
Ecuador,,,,
Uruguay,,,,
Sierra Leona,,,,
Japón,76 %,1 %,17 %,6 %
Honduras,,,,
Liberia,,,,
Lesoto,,,,
Senegal,,,,
Bolivia,,,,
Gambia,,,,
Armenia,,,,
Laos,,,,
Zambia,,,,
El Salvador,,,,
Croacia,,,,
Albania,,,,
Israel,,,,
Guinea,,,,
Finlandia,40 %,2 %,25 %,33 %
Camboya,,,,
Argentina,58 %,1 %,11 %,30 %
Perú,,,,
Taiwán,51 %,1 %,35 %,13 %
Nicaragua,,,,
Macedonia del Norte,,,,
Georgia,,,,
Kosovo,,,,
Omán,,,,
Serbia,,,,
Azerbaiyán,,,,
Baréin,,,,
Uzbekistán,,,,
Kuwait,,,,
Montenegro,,,,
Ucrania,63 %,1 %,23 %,13 %
Libia,,,,
Túnez,,,,
Tanzania,,,,
Yemen,,,,
Mauritania,,,,
Moldavia,,,,
Rusia,58 %,< 1 %,29 %,13 %
Bosnia y Herzegovina,,,,
Argelia,,,,
Kazajistán,,,,
Bielorrusia,,,,
Kirguistán,,,,
Sudán del Sur,,,,
Marruecos,,,,
Venezuela,,,,
Arabia Saudí,54 %,3 %,16 %,27 %
Turkmenistán,,,,
China,,,,
Jordania,,,,
Tayikistán,,,,
Irak,,,,
Siria,,,,
Palestina,,,,
Vietnam,48 %,3 %,21 %,28 %
Egipto,,,,
Sudán,,,,
Isla de Navidad,,,,
Wallis y Futuna,,,,
Svalbard y Jan Mayen,,,,
Islas Malvinas (Islas Falkland),,,,
Corea del Norte,,,,
Palaos,,,,
Isla Norfolk,,,,
Territorio Británico del Océano Índico,,,,
Eritrea,,,,
Kiribati,,,,
Samoa,,,,
Montserrat,,,,
Tonga,,,,
Comoras,,,,
San Pedro y Miquelón,,,,
Caribe neerlandés,,,,
Micronesia,,,,
Islas Cook,,,,
Anguila,,,,
Guinea Ecuatorial,,,,
Islas Marshall,,,,
Guinea-Bisáu,,,,
Antártida,,,,
Territorios Australes Franceses,,,,
Isla Bouvet,,,,
Islas Cocos,,,,
Islas Heard y McDonald,,,,
Niue,,,,
Nauru,,,,
Islas Pitcairn,,,,
Islas Georgia del Sur y Sandwich del Sur,,,,
Tokelau,,,,
Tuvalu,,,,
Islas menores alejadas de EE. UU.,,,,
Ciudad del Vaticano,,,,
