Categoría: Todas las categorías

Mes,Vehículo aéreo no tripulado: (Todo el mundo),uas: (Todo el mundo),dji: (Todo el mundo),drone: (Todo el mundo)
2004-01,11,3,1,1
2004-02,8,2,<1,2
2004-03,9,2,1,3
2004-04,9,2,1,2
2004-05,8,2,1,2
2004-06,10,2,1,2
2004-07,7,3,1,1
2004-08,8,3,1,1
2004-09,9,3,1,2
2004-10,9,2,1,2
2004-11,7,2,1,1
2004-12,8,2,1,1
2005-01,8,2,1,1
2005-02,8,2,1,2
2005-03,8,3,<1,1
2005-04,9,3,1,2
2005-05,8,3,1,2
2005-06,7,3,1,1
2005-07,9,3,1,2
2005-08,8,3,1,1
2005-09,7,2,1,2
2005-10,7,2,2,1
2005-11,7,3,2,2
2005-12,7,2,1,1
2006-01,7,2,2,2
2006-02,7,2,2,1
2006-03,7,2,2,1
2006-04,7,2,1,2
2006-05,6,2,1,1
2006-06,7,3,1,2
2006-07,7,2,1,2
2006-08,7,2,1,1
2006-09,7,2,1,1
2006-10,6,2,1,1
2006-11,6,2,1,1
2006-12,5,2,1,1
2007-01,6,3,1,2
2007-02,6,3,1,2
2007-03,5,2,2,2
2007-04,7,2,1,2
2007-05,6,2,1,2
2007-06,6,3,1,2
2007-07,7,3,2,2
2007-08,7,2,3,2
2007-09,6,3,1,2
2007-10,6,2,1,2
2007-11,7,3,2,2
2007-12,5,3,2,1
2008-01,6,3,2,2
2008-02,6,3,2,2
2008-03,8,3,2,3
2008-04,7,3,2,2
2008-05,7,3,2,2
2008-06,6,3,2,2
2008-07,6,2,2,2
2008-08,6,3,1,2
2008-09,7,3,3,2
2008-10,6,3,7,2
2008-11,6,3,5,2
2008-12,6,3,4,2
2009-01,6,3,3,2
2009-02,7,3,4,2
2009-03,7,3,6,2
2009-04,7,2,5,2
2009-05,7,3,4,2
2009-06,7,3,3,2
2009-07,7,3,3,3
2009-08,8,3,3,3
2009-09,7,3,3,2
2009-10,7,2,3,2
2009-11,7,3,2,2
2009-12,9,3,2,3
2010-01,12,3,2,5
2010-02,10,3,2,3
2010-03,9,3,2,3
2010-04,9,3,2,3
2010-05,9,3,3,3
2010-06,8,3,3,4
2010-07,9,3,3,4
2010-08,12,2,3,6
2010-09,13,2,2,7
2010-10,13,2,2,7
2010-11,12,3,2,6
2010-12,14,3,1,8
2011-01,11,3,2,5
2011-02,10,3,2,5
2011-03,11,3,2,5
2011-04,12,3,2,6
2011-05,12,3,1,6
2011-06,11,4,1,6
2011-07,11,3,2,6
2011-08,11,3,4,5
2011-09,11,3,3,5
2011-10,13,3,2,7
2011-11,13,3,2,6
2011-12,26,4,2,17
2012-01,14,4,2,8
2012-02,13,4,2,7
2012-03,12,4,2,6
2012-04,13,2,2,7
2012-05,14,3,2,7
2012-06,17,4,2,9
2012-07,13,3,2,8
2012-08,13,3,2,7
2012-09,15,2,2,8
2012-10,16,3,2,9
2012-11,17,3,2,10
2012-12,19,5,2,11
2013-01,17,4,2,10
2013-02,24,3,3,13
2013-03,21,4,3,12
2013-04,18,3,4,11
2013-05,19,3,4,10
2013-06,17,5,4,10
2013-07,17,4,5,10
2013-08,18,3,5,10
2013-09,17,2,5,10
2013-10,16,2,5,10
2013-11,19,4,6,11
2013-12,37,7,7,22
2014-01,22,4,7,13
2014-02,22,4,7,13
2014-03,25,5,8,15
2014-04,25,3,9,15
2014-05,27,4,8,16
2014-06,26,6,8,15
2014-07,30,3,10,19
2014-08,31,4,9,20
2014-09,29,3,8,18
2014-10,36,3,9,21
2014-11,47,5,11,31
2014-12,54,9,11,37
2015-01,43,5,11,29
2015-02,43,5,10,25
2015-03,41,6,9,25
2015-04,45,3,12,26
2015-05,51,4,12,32
2015-06,52,6,11,33
2015-07,51,4,11,33
2015-08,49,4,12,32
2015-09,49,3,11,32
2015-10,49,3,11,32
2015-11,62,6,12,41
2015-12,94,9,14,65
2016-01,58,5,13,41
2016-02,47,6,12,31
2016-03,46,5,15,31
2016-04,49,4,14,33
2016-05,51,5,14,34
2016-06,51,5,15,34
2016-07,49,4,14,34
2016-08,46,4,13,31
2016-09,54,3,21,37
2016-10,55,3,22,39
2016-11,74,7,23,52
2016-12,100,11,24,73
2017-01,70,5,23,47
2017-02,63,5,20,40
2017-03,58,7,20,39
2017-04,58,4,21,40
2017-05,56,5,25,40
2017-06,59,5,26,42
2017-07,63,3,28,43
2017-08,61,4,25,42
2017-09,59,3,22,38
2017-10,57,3,21,38
2017-11,68,7,24,48
2017-12,85,10,28,61
2018-01,65,4,30,44
2018-02,60,5,25,40
2018-03,54,5,23,36
2018-04,58,4,24,38
2018-05,56,6,24,36
2018-06,56,4,24,36
2018-07,58,4,25,40
2018-08,61,6,27,42
2018-09,55,5,21,38
2018-10,52,4,18,35
2018-11,60,9,23,42
2018-12,87,10,30,61
2019-01,59,6,23,40
2019-02,49,5,19,35
2019-03,48,5,19,34
2019-04,51,6,20,34
2019-05,50,6,22,33
2019-06,62,5,22,40
2019-07,55,3,22,37
2019-08,52,6,23,37
2019-09,55,4,19,39
2019-10,50,4,20,34
2019-11,59,7,27,38
2019-12,66,11,25,46
2020-01,70,5,23,45
2020-02,51,5,20,33
2020-03,48,4,19,31
2020-04,64,3,26,44
2020-05,61,4,25,39
2020-06,57,5,24,39
2020-07,58,3,22,39
2020-08,53,3,22,36
2020-09,51,6,19,34
2020-10,49,5,20,31
2020-11,55,6,28,36
2020-12,64,6,26,42
